"datetime","cet_cest_timestamp","solar","load"
"2015-09-22T11:00:00Z","2015-09-22T13:00:00+0200","0.5234375","0.020662096311594713"
"2015-09-22T11:15:00Z","2015-09-22T13:15:00+0200","0.49609376000080374","0.014364454481400002"
"2015-09-22T11:30:00Z","2015-09-22T13:30:00+0200","0.5800781199995981","0.01449330697779471"
"2015-09-22T11:45:00Z","2015-09-22T13:45:00+0200","0.41015625","0.015070596830805284"
"2015-09-22T12:00:00Z","2015-09-22T14:00:00+0200","0.24023436999959813","0.010948181152300007"
"2015-09-22T12:15:00Z","2015-09-22T14:15:00+0200","0.3046875","0.017505645725802585"
"2015-09-22T12:30:00Z","2015-09-22T14:30:00+0200","0.5859375","0.012466430663999994"
"2015-09-22T12:45:00Z","2015-09-22T14:45:00+0200","0.2890625","0.005759102957600001"
"2015-09-22T13:00:00Z","2015-09-22T15:00:00+0200","0.25","0.024309158761196215"
"2015-09-22T13:15:00Z","2015-09-22T15:15:00+0200","0.265625","0.0036773681639999944"
"2015-09-22T13:30:00Z","2015-09-22T15:30:00+0200","0.34960938000040187","0.015777587891000006"
"2015-09-22T13:45:00Z","2015-09-22T15:45:00+0200","0.21875","0.011810302733999994"
"2015-09-22T14:00:00Z","2015-09-22T16:00:00+0200","0.1875","0.017501831055"
"2015-09-22T14:15:00Z","2015-09-22T16:15:00+0200","0.203125","0.0002899169920000111"
"2015-09-22T14:30:00Z","2015-09-22T16:30:00+0200","0.16992188000040187","0.027236938476999983"
"2015-09-22T14:45:00Z","2015-09-22T16:45:00+0200","0.22070311999959813","0.00033950809200158916"
"2015-09-22T15:00:00Z","2015-09-22T17:00:00+0200","0.15429688000040187","0.017422540218003102"
"2015-09-22T15:15:00Z","2015-09-22T17:15:00+0200","0.16992186999959813","0.00044250488300001667"
"2015-09-22T15:30:00Z","2015-09-22T17:30:00+0200","0.24023436999959813","0.026939392089999986"
"2015-09-22T15:45:00Z","2015-09-22T17:45:00+0200","0.05859376000080374","0.0003585815430000028"
"2015-09-22T16:00:00Z","2015-09-22T18:00:00+0200","0.059570309999799065","0.01789855957"
"2015-09-22T16:15:00Z","2015-09-22T18:15:00+0200","0.0703125","0.0026652018230000074"
"2015-09-22T16:30:00Z","2015-09-22T18:30:00+0200","0.05859375","0.025174458822000007"
"2015-09-22T16:45:00Z","2015-09-22T18:45:00+0200","0.028320309999799065","0.008362634276996211"
